YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1948,999.90,999.90,999.90,4.71,4.21,3.76,2.76,3.01,2.96,3.61,4.41,5.76,999.90,4.98,3.18,3.66,4.56
1949,6.11,5.81,4.96,4.26,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.89,4.07,999.90,999.90,999.90
1950,999.90,999.90,999.90,4.31,3.91,1.76,3.41,1.96,3.61,4.16,4.31,5.06,999.90,4.63,2.38,4.03,4.29
1951,6.16,6.26,6.26,5.26,4.06,2.76,3.06,2.71,3.01,2.51,4.56,6.30,5.83,5.19,2.84,3.36,4.31
1952,6.06,6.21,5.01,4.35,2.71,2.76,4.21,4.06,4.30,3.10,4.06,6.91,6.19,4.02,3.68,3.82,4.43
1953,7.51,6.41,6.11,4.96,3.81,2.46,3.46,3.16,2.21,4.16,4.10,5.41,6.94,4.96,3.03,3.49,4.60
1954,6.01,6.36,6.26,5.01,4.51,2.05,0.76,2.00,2.16,2.91,4.35,6.16,5.93,5.26,1.60,3.14,3.98
1955,6.86,6.31,5.46,4.66,4.21,2.41,3.16,3.11,2.81,4.46,4.41,5.91,6.44,4.78,2.89,3.89,4.50
1956,7.16,6.31,5.91,5.86,5.11,4.35,2.81,3.21,3.41,4.06,4.71,6.96,6.46,5.63,3.46,4.06,4.90
1957,7.71,7.26,6.41,5.51,3.36,2.36,2.81,3.86,4.26,3.21,4.71,5.46,7.31,5.09,3.01,4.06,4.87
1958,6.51,7.30,6.21,4.96,4.21,3.26,2.21,2.71,2.96,3.86,4.76,5.26,6.42,5.13,2.73,3.86,4.53
1959,6.51,5.76,4.96,4.96,2.51,2.81,2.46,3.26,3.16,3.51,3.86,5.71,5.84,4.14,2.84,3.51,4.08
1960,6.16,6.61,6.36,5.51,4.16,3.61,3.51,2.76,3.26,4.51,4.66,5.61,6.16,5.34,3.29,4.14,4.73
1961,6.11,5.21,5.11,4.76,3.85,2.61,1.81,3.76,2.86,4.06,4.71,6.06,5.64,4.57,2.73,3.88,4.21
1962,6.21,7.16,6.31,5.11,4.51,3.81,3.26,3.06,3.41,4.10,4.91,5.91,6.48,5.31,3.38,4.14,4.83
1963,6.51,6.66,5.31,4.46,2.11,3.01,2.60,2.00,3.51,3.60,3.16,4.41,6.36,3.96,2.54,3.42,4.07
1964,6.41,6.51,5.71,4.41,3.56,2.66,3.31,1.91,3.36,4.01,4.21,6.36,5.78,4.56,2.63,3.86,4.21
1965,7.06,6.66,6.71,4.91,4.01,3.91,3.16,3.26,3.86,3.11,3.81,4.66,6.69,5.21,3.44,3.59,4.73
1966,5.55,6.61,6.11,5.01,4.41,2.81,2.71,3.16,3.06,2.85,4.10,5.21,5.61,5.18,2.89,3.34,4.25
1967,6.96,6.31,6.21,4.41,3.71,4.05,3.41,3.66,3.56,3.76,3.60,5.51,6.16,4.78,3.71,3.64,4.57
1968,6.66,6.41,6.16,5.71,5.21,3.96,2.86,3.81,3.01,2.96,4.71,6.16,6.19,5.69,3.54,3.56,4.75
1969,7.51,6.91,5.26,4.31,4.26,2.25,3.26,3.06,2.86,2.16,4.51,5.80,6.86,4.61,2.86,3.18,4.38
1970,6.05,6.30,6.26,4.91,4.16,3.66,3.31,3.71,1.81,3.76,5.11,6.06,6.05,5.11,3.56,3.56,4.57
1971,8.01,7.91,7.21,5.91,5.51,4.26,4.35,4.41,2.36,4.16,4.81,6.86,7.33,6.21,4.34,3.78,5.41
1972,6.91,7.11,6.71,4.76,3.76,2.06,2.56,3.36,2.46,2.91,4.01,5.56,6.96,5.08,2.66,3.13,4.46
1973,6.36,6.21,5.86,4.96,3.06,3.41,4.85,3.81,3.66,3.41,3.85,6.01,6.04,4.63,4.02,3.64,4.58
1974,7.11,7.11,6.31,5.41,3.66,2.71,2.41,2.41,3.96,3.66,5.41,7.80,6.74,5.13,2.51,4.34,4.68
1975,8.96,7.61,7.56,5.51,3.46,3.41,2.51,2.60,3.21,3.26,4.40,4.90,8.12,5.51,2.84,3.62,5.02
1976,5.94,6.60,6.10,4.75,3.70,999.90,1.85,2.75,3.30,3.55,4.49,6.90,5.81,4.85,2.32,3.78,4.19
